Timestamp,Concurrency (VUs),Throughput (RPS),Latency P95 (ms),Latency Median (ms)
2025-07-10T01:03:30Z,1,1,11.00,11.00
2025-07-10T01:03:31Z,2,3,1.37,0.84
2025-07-10T01:03:32Z,3,2,1.14,0.81
2025-07-10T01:03:33Z,4,3,1.15,0.77
2025-07-10T01:03:34Z,5,4,1.05,0.76
2025-07-10T01:03:35Z,6,5,1.07,0.77
2025-07-10T01:03:36Z,7,7,1.11,0.78
2025-07-10T01:03:37Z,8,8,1.20,0.79
2025-07-10T01:03:38Z,9,9,1.13,0.79
2025-07-10T01:03:39Z,10,10,1.09,0.80
2025-07-10T01:03:40Z,11,11,1.07,0.79
2025-07-10T01:03:41Z,12,12,1.06,0.79
2025-07-10T01:03:42Z,13,13,1.04,0.77
2025-07-10T01:03:43Z,14,14,1.02,0.77
2025-07-10T01:03:44Z,15,15,1.04,0.78
2025-07-10T01:03:45Z,16,16,1.05,0.79
2025-07-10T01:03:46Z,17,17,1.11,0.79
2025-07-10T01:03:47Z,18,18,1.48,0.81
2025-07-10T01:03:48Z,19,17,1.45,0.82
2025-07-10T01:03:49Z,20,12,1.42,0.82
2025-07-10T01:03:50Z,20,13,1.34,0.82
2025-07-10T01:03:51Z,20,14,1.29,0.82
2025-07-10T01:03:52Z,20,14,1.31,0.84
2025-07-10T01:03:53Z,20,13,1.37,0.84
2025-07-10T01:03:54Z,20,12,1.35,0.82
2025-07-10T01:03:55Z,20,12,1.35,0.84
2025-07-10T01:03:56Z,20,13,1.46,0.83
2025-07-10T01:03:57Z,20,14,1.39,0.84
2025-07-10T01:03:58Z,20,12,1.25,0.81
2025-07-10T01:03:59Z,20,12,1.16,0.82
2025-07-10T01:04:00Z,18,11,1.14,0.80
2025-07-10T01:04:01Z,16,10,1.06,0.80
2025-07-10T01:04:02Z,14,10,1.05,0.79
2025-07-10T01:04:03Z,12,9,1.01,0.79
2025-07-10T01:04:04Z,10,7,0.98,0.76
2025-07-10T01:04:05Z,8,6,0.96,0.74
2025-07-10T01:04:06Z,6,5,1.00,0.76
2025-07-10T01:04:07Z,4,3,1.12,0.77
2025-07-10T01:04:08Z,2,2,1.06,0.82